X Minutes,Y Counts,Oligo Length,Type
3.85,0,7,Standard
3.867,0,7,Standard
3.883,0,7,Standard
3.9,0,7,Standard
3.917,0,7,Standard
3.933,0,7,Standard
3.95,0,7,Standard
3.966,0,7,Standard
3.983,0,7,Standard
4,0,7,Standard
4.016,0,7,Standard
4.033,0,7,Standard
4.049,0,7,Standard
4.066,0,7,Standard
4.082,0,7,Standard
4.099,0,7,Standard
4.116,0,7,Standard
4.132,0,7,Standard
4.149,0,7,Standard
4.165,0,7,Standard
4.182,0,7,Standard
4.199,0,7,Standard
4.215,0,7,Standard
4.232,0,7,Standard
4.248,0,7,Standard
4.265,0,7,Standard
4.282,0,7,Standard
4.298,0,7,Standard
4.315,0,7,Standard
4.331,0,7,Standard
4.348,0,7,Standard
4.365,0,7,Standard
4.381,0,7,Standard
4.398,0,7,Standard
4.414,0,7,Standard
4.431,0,7,Standard
4.448,0,7,Standard
4.464,0,7,Standard
4.481,0,7,Standard
4.497,0,7,Standard
4.514,0,7,Standard
4.531,0,7,Standard
4.547,0,7,Standard
4.564,0,7,Standard
4.58,0,7,Standard
4.597,0,7,Standard
4.614,0,7,Standard
4.63,0,7,Standard
4.647,0,7,Standard
4.663,0,7,Standard
4.68,0,7,Standard
4.697,0,7,Standard
4.713,0,7,Standard
4.73,0,7,Standard
4.746,0,7,Standard
4.763,0,7,Standard
4.779,0,7,Standard
4.796,0,7,Standard
4.813,0,7,Standard
4.829,0,7,Standard
4.846,0,7,Standard
4.862,0,7,Standard
4.879,0,7,Standard
4.896,0,7,Standard
4.912,0,7,Standard
4.929,0,7,Standard
4.945,0,7,Standard
4.962,0,7,Standard
4.979,0,7,Standard
4.995,0,7,Standard
5.012,0,7,Standard
5.028,0,7,Standard
5.045,0,7,Standard
5.062,0,7,Standard
5.078,0,7,Standard
5.095,0,7,Standard
5.111,0,7,Standard
5.128,0,7,Standard
5.145,0,7,Standard
5.161,0,7,Standard
5.178,0,7,Standard
5.194,0,7,Standard
5.211,0,7,Standard
5.228,0,7,Standard
5.244,0,7,Standard
5.261,0,7,Standard
5.277,0,7,Standard
5.294,0,7,Standard
5.311,0,7,Standard
5.327,0,7,Standard
5.344,0,7,Standard
5.36,0,7,Standard
5.377,0,7,Standard
5.394,0,7,Standard
5.41,0,7,Standard
5.427,0,7,Standard
5.443,0,7,Standard
5.46,0,7,Standard
5.476,0,7,Standard
5.493,0,7,Standard
5.51,0,7,Standard
5.526,0,7,Standard
5.543,0,7,Standard
5.559,0,7,Standard
5.576,0,7,Standard
5.593,0,7,Standard
5.609,0,7,Standard
5.626,0,7,Standard
5.642,0,7,Standard
5.659,0,7,Standard
5.676,0,7,Standard
5.692,0.178228,7,Standard
5.709,0.75356,7,Standard
5.725,2.552295,7,Standard
5.742,6.924909,7,Standard
5.759,15.05108,7,Standard
5.775,26.20545,7,Standard
5.792,36.54989,7,Standard
5.808,40.83672,7,Standard
5.825,36.54989,7,Standard
5.842,26.20545,7,Standard
5.858,15.05108,7,Standard
5.875,6.924909,7,Standard
5.891,2.552295,7,Standard
5.908,0.75356,7,Standard
5.925,0.178228,7,Standard
5.941,0,7,Standard
5.958,0,7,Standard
5.974,0,7,Standard
5.991,0,7,Standard
6.008,0,7,Standard
6.024,0,7,Standard
6.041,0,7,Standard
6.057,0,7,Standard
6.074,0,7,Standard
6.091,0,7,Standard
6.107,0,7,Standard
6.124,0,7,Standard
6.14,0,7,Standard
6.157,0,7,Standard
6.173,0,7,Standard
6.19,0,7,Standard
6.207,0,7,Standard
6.223,0,7,Standard
6.24,0,7,Standard
6.256,0,7,Standard
6.273,0,7,Standard
6.29,0,7,Standard
6.306,0,7,Standard
6.323,0,7,Standard
6.339,0,7,Standard
6.356,0,7,Standard
6.373,0,7,Standard
6.389,0,7,Standard
6.406,0,7,Standard
6.422,0,7,Standard
6.439,0,7,Standard
6.456,0,7,Standard
6.472,0,7,Standard
6.489,0,7,Standard
6.505,0,7,Standard
6.522,0,7,Standard
6.539,0,7,Standard
6.555,0,7,Standard
6.572,0,7,Standard
6.588,0,7,Standard
6.605,0,7,Standard
6.622,0,7,Standard
6.638,0,7,Standard
6.655,0,7,Standard
6.671,0,7,Standard
6.688,0,7,Standard
6.705,0,7,Standard
6.721,0,7,Standard
6.738,0,7,Standard
6.754,0,7,Standard
6.771,0,7,Standard
6.788,0,7,Standard
6.804,0,7,Standard
6.821,0.191954,7,Standard
6.837,0.811594,7,Standard
6.854,2.748855,7,Standard
6.871,7.458218,7,Standard
6.887,16.21021,7,Standard
6.904,28.22362,7,Standard
6.92,39.36471,7,Standard
6.937,43.98169,7,Standard
6.953,39.36471,7,Standard
6.97,28.22362,7,Standard
6.987,16.21021,7,Standard
7.003,7.458218,7,Standard
7.02,2.748855,7,Standard
7.036,0.811594,7,Standard
7.053,0.191954,7,Standard
7.07,0,7,Standard
7.086,0,7,Standard
7.103,0,7,Standard
7.119,0,7,Standard
7.136,0,7,Standard
7.153,0,7,Standard
7.169,0,7,Standard
7.186,0,7,Standard
7.202,0,7,Standard
7.219,0.176651,7,Standard
7.236,0.746892,7,Standard
7.252,2.529708,7,Standard
7.269,6.863627,7,Standard
7.285,14.91788,7,Standard
7.302,26.15156,7,Standard
7.319,36.97908,7,Standard
7.335,43.0245,7,Standard
7.352,43.14286,7,Standard
7.368,41.00616,7,Standard
7.385,41.0912,7,Standard
7.402,43.36869,7,Standard
7.418,43.31634,7,Standard
7.435,37.25195,7,Standard
7.451,26.34996,7,Standard
7.468,15.03262,7,Standard
7.485,6.916416,7,Standard
7.501,2.549165,7,Standard
7.518,0.752636,7,Standard
7.534,0.178009,7,Standard
7.551,0,7,Standard
7.568,0.176389,7,Standard
7.584,0.745785,7,Standard
7.601,2.525959,7,Standard
7.617,6.853453,7,Standard
7.634,14.89577,7,Standard
7.65,25.93505,7,Standard
7.667,36.17274,7,Standard
7.684,40.41534,7,Standard
7.7,36.17274,7,Standard
7.717,26.16541,7,Standard
7.733,15.86975,7,Standard
7.75,10.15229,7,Standard
7.767,11.47639,7,Standard
7.783,20.19927,7,Standard
7.8,34.04688,7,Standard
7.816,47.24065,7,Standard
7.833,52.78137,7,Standard
7.85,47.24065,7,Standard
7.866,33.87049,7,Standard
7.883,19.45349,7,Standard
7.899,8.950429,7,Standard
7.916,3.298836,7,Standard
7.933,0.973975,7,Standard
7.949,0.230359,7,Standard
7.966,0,7,Standard
7.982,0,7,Standard
7.999,0,7,Standard
8.016,0,7,Standard
8.032,0,7,Standard
8.049,0,7,Standard
8.065,0,7,Standard
8.082,0,7,Standard
8.099,0,7,Standard
8.115,0,7,Standard
8.132,0,7,Standard
8.148,0,7,Standard
8.165,0,7,Standard
8.182,0,7,Standard
8.198,0,7,Standard
8.215,0,7,Standard
8.231,0.182127,7,Standard
8.248,1.176355,7,Standard
8.265,4.326036,7,Standard
8.281,12.89492,7,Standard
8.298,31.16719,7,Standard
8.314,61.09098,7,Standard
8.331,97.09057,7,Standard
8.347,125.0536,7,Standard
8.364,130.4458,7,Standard
8.381,110.1023,7,Standard
8.397,75.12145,7,Standard
8.414,41.38866,7,Standard
8.43,18.39499,7,Standard
8.447,6.588565,7,Standard
8.464,1.900034,7,Standard
8.48,0.40631,7,Standard
8.497,0,7,Standard
8.513,0,7,Standard
8.53,0,7,Standard
8.547,0,7,Standard
8.563,0,7,Standard
8.58,0,7,Standard
8.596,0,7,Standard
8.613,0,7,Standard
8.63,0,7,Standard
8.646,0,7,Standard
8.663,0,7,Standard
8.679,0,7,Standard
8.696,0.165182,7,Standard
8.713,0.6984,7,Standard
8.729,2.365468,7,Standard
8.746,6.418008,7,Standard
8.762,13.94935,7,Standard
8.779,24.28722,7,Standard
8.796,33.87445,7,Standard
8.812,37.84748,7,Standard
8.829,33.87445,7,Standard
8.845,24.28722,7,Standard
8.862,13.94935,7,Standard
8.879,6.418008,7,Standard
8.895,2.365468,7,Standard
8.912,0.6984,7,Standard
8.928,0.165182,7,Standard
8.945,0,7,Standard
8.962,0,7,Standard
8.978,0,7,Standard
8.995,0,7,Standard
9.011,0,7,Standard
9.028,0,7,Standard
9.044,0.210001,7,Standard
9.061,0.887898,7,Standard
9.078,3.007295,7,Standard
9.094,8.159418,7,Standard
9.111,17.73425,7,Standard
9.127,30.87712,7,Standard
9.144,43.06567,7,Standard
9.161,48.11671,7,Standard
9.177,43.06567,7,Standard
9.194,30.87712,7,Standard
9.21,17.73425,7,Standard
9.227,8.159418,7,Standard
9.244,3.007295,7,Standard
9.26,0.887898,7,Standard
9.277,0.210001,7,Standard
9.293,0,7,Standard
9.31,0,7,Standard
9.327,0.276029,7,Standard
9.343,1.167071,7,Standard
9.36,3.952846,7,Standard
9.376,10.7249,7,Standard
9.393,23.31024,7,Standard
9.41,40.58548,7,Standard
9.426,56.60635,7,Standard
9.443,63.24554,7,Standard
9.459,56.60635,7,Standard
9.476,40.77406,7,Standard
9.493,24.10753,7,Standard
9.509,13.42533,7,Standard
9.526,11.27967,7,Standard
9.542,17.0917,7,Standard
9.559,28.1825,7,Standard
9.576,39.43257,7,Standard
9.592,45.78555,7,Standard
9.609,45.66778,7,Standard
9.625,42.93322,7,Standard
9.642,42.40125,7,Standard
9.659,44.25491,7,Standard
9.675,43.95971,7,Standard
9.692,37.72538,7,Standard
9.708,26.89928,7,Standard
9.725,16.40847,7,Standard
9.741,11.24473,7,Standard
9.758,14.70841,7,Standard
9.775,28.76243,7,Standard
9.791,52.49187,7,Standard
9.808,79.1583,7,Standard
9.824,97.08543,7,Standard
9.841,96.55047,7,Standard
9.858,77.8674,7,Standard
9.874,50.91983,7,Standard
9.891,26.987,7,Standard
9.907,11.58404,7,Standard
9.924,4.023704,7,Standard
9.941,1.129857,7,Standard
9.957,0.211859,7,Standard
9.974,0,7,Standard
9.99,0,7,Standard
10.007,0,7,Standard
10.024,0,7,Standard
10.04,0,7,Standard
10.057,0,7,Standard
10.073,0,7,Standard
10.09,0,7,Standard
10.107,0,7,Standard
10.123,0,7,Standard
10.14,0,7,Standard
10.156,0,7,Standard
10.173,0,7,Standard
10.19,0,7,Standard
10.206,0,7,Standard
10.223,0,7,Standard
10.239,0,7,Standard
10.256,0,7,Standard
10.273,0,7,Standard
10.289,0.221088,7,Standard
10.306,0.934775,7,Standard
10.322,3.166066,7,Standard
10.339,8.590198,7,Standard
10.356,18.67053,7,Standard
10.372,32.50729,7,Standard
10.389,45.33934,7,Standard
10.405,50.65705,7,Standard
10.422,45.33934,7,Standard
10.438,32.50729,7,Standard
10.455,18.67053,7,Standard
10.472,8.590198,7,Standard
10.488,3.166066,7,Standard
10.505,0.934775,7,Standard
10.521,0.221088,7,Standard
10.538,0,7,Standard
10.555,0,7,Standard
10.571,0,7,Standard
10.594,0,7,Standard
10.617,0,7,Standard
10.641,0,7,Standard
10.664,0,7,Standard
10.687,0,7,Standard
10.703,0,7,Standard
10.72,0,7,Standard
10.743,0,7,Standard
10.766,0,7,Standard
10.789,0,7,Standard
10.812,0,7,Standard
10.835,0,7,Standard
10.852,0,7,Standard
10.868,0,7,Standard
10.885,0,7,Standard
10.902,0,7,Standard
10.918,0,7,Standard
10.935,0,7,Standard
10.951,0,7,Standard
10.968,0,7,Standard
10.985,0,7,Standard
11.001,0,7,Standard
11.018,0,7,Standard
11.034,0,7,Standard
11.051,0,7,Standard
11.068,0,7,Standard
11.084,0,7,Standard
11.101,0,7,Standard
11.117,0,7,Standard
11.134,0,7,Standard
11.151,0,7,Standard
11.167,0,7,Standard
11.184,0,7,Standard
11.2,0,7,Standard
11.217,0,7,Standard
11.234,0,7,Standard
11.25,0,7,Standard
11.267,0,7,Standard
11.283,0.181265,7,Standard
11.3,0.766401,7,Standard
11.317,2.595787,7,Standard
11.333,7.042911,7,Standard
11.35,15.30755,7,Standard
11.366,26.652,7,Standard
11.383,37.17271,7,Standard
11.4,41.53259,7,Standard
11.416,37.17271,7,Standard
11.433,26.652,7,Standard
11.449,15.30755,7,Standard
11.466,7.042911,7,Standard
11.483,2.595787,7,Standard
11.499,0.766401,7,Standard
11.516,0.181265,7,Standard
11.532,0,7,Standard
11.549,0,7,Standard
11.565,0,7,Standard
11.582,0,7,Standard
11.599,0,7,Standard
11.615,0,7,Standard
11.632,0,7,Standard
11.648,0,7,Standard
11.665,0,7,Standard
11.682,0,7,Standard
11.698,0.231059,7,Standard
11.715,0.976932,7,Standard
11.731,3.308851,7,Standard
11.748,8.977605,7,Standard
11.765,19.51255,7,Standard
11.781,33.97333,7,Standard
11.798,47.38408,7,Standard
11.814,52.94162,7,Standard
11.831,47.38408,7,Standard
11.848,33.97333,7,Standard
11.864,19.51255,7,Standard
11.881,8.977605,7,Standard
11.897,3.308851,7,Standard
11.914,0.976932,7,Standard
11.931,0.231059,7,Standard
11.947,0,7,Standard
11.964,0,7,Standard
11.987,0,7,Standard
12.01,0,7,Standard
12.033,0,7,Standard
12.056,0,7,Standard
12.079,0,7,Standard
12.096,0,7,Standard
12.112,0,7,Standard
12.129,0,7,Standard
12.146,0,7,Standard
12.162,0,7,Standard
12.179,0,7,Standard
12.195,0,7,Standard
12.212,0,7,Standard
12.229,0,7,Standard
12.252,0,7,Standard
12.275,0,7,Standard
12.298,0,7,Standard
12.326,0,7,Standard
12.349,0,7,Standard
12.377,0,7,Standard
12.4,0,7,Standard
12.423,0,7,Standard
12.446,0,7,Standard
12.469,0,7,Standard
12.486,0,7,Standard
12.503,0,7,Standard
12.519,0,7,Standard
12.536,0,7,Standard
12.552,0,7,Standard
12.569,0,7,Standard
12.586,0,7,Standard
12.602,0,7,Standard
12.63,0,7,Standard
12.658,0,7,Standard
12.686,0,7,Standard
12.714,0,7,Standard
12.742,0,7,Standard
12.766,0,7,Standard
12.794,0,7,Standard
12.822,0,7,Standard
12.839,0,7,Standard
12.856,0,7,Standard
12.872,0,7,Standard
12.889,0,7,Standard
12.906,0.189085,7,Standard
12.922,1.018746,7,Standard
12.939,3.634909,7,Standard
12.955,10.48694,7,Standard
12.972,24.48793,7,Standard
12.989,46.31974,7,Standard
13.005,71.01798,7,Standard
13.022,88.29311,7,Standard
13.038,89.01939,7,Standard
13.055,72.77054,7,Standard
13.072,48.20952,7,Standard
13.088,25.86467,7,Standard
13.105,11.22775,7,Standard
13.121,3.939651,7,Standard
13.138,1.486879,7,Standard
13.155,2.246967,7,Standard
13.171,8.484377,7,Standard
13.188,27.18665,7,Standard
13.211,72.64323,7,Standard
13.234,163.8306,7,Standard
13.257,317.6712,7,Standard
13.28,538.8983,7,Standard
13.303,814.6287,7,Standard
13.32,1119.563,7,Standard
13.336,1433.089,7,Standard
13.353,1747.349,7,Standard
13.37,2057.846,7,Standard
13.386,2337.193,7,Standard
13.403,2521.465,7,Standard
13.419,2538.4,7,Standard
13.436,2361.59,7,Standard
13.452,2037.582,7,Standard
13.469,1659.109,7,Standard
13.486,1310.294,7,Standard
13.502,1033.734,7,Standard
13.525,828.4844,7,Standard
13.548,671.9337,7,Standard
13.572,541.741,7,Standard
13.588,426.7073,7,Standard
13.605,323.9353,7,Standard
13.621,236.9258,7,Standard
13.644,170.3691,7,Standard
13.667,128.8875,7,Standard
13.684,114.667,7,Standard
