Point,X(Minutes),Y(Counts),Analyte
201,3.38,1.108004808,7mer
202,3.39,1.029082179,7mer
203,3.41,0.772114277,7mer
204,3.43,0.471274436,7mer
205,3.44,0.243853629,7mer
206,3.46,0.134228915,7mer
207,3.48,0.130236134,7mer
208,3.49,0.197458073,7mer
209,3.51,0.289659321,7mer
210,3.52,0.356181175,7mer
211,3.54,0.356181175,7mer
212,3.56,0.347901702,7mer
213,3.57,0.465039313,7mer
214,3.59,1.054467678,7mer
215,3.61,2.702620745,7mer
216,3.62,5.991847515,7mer
217,3.64,10.83945274,7mer
218,3.66,15.86381245,7mer
219,3.67,18.77968216,7mer
220,3.69,18.00812531,7mer
221,3.71,14.01978588,7mer
222,3.72,8.895008087,7mer
223,3.74,4.630298615,7mer
224,3.76,2.002081394,7mer
225,3.77,0.734499693,7mer
226,3.79,0.235856041,7mer
227,3.81,0.05894313,7mer
228,3.82,0.018683949,7mer
229,3.84,0.026962841,7mer
230,3.86,0.06456577,7mer
231,3.87,0.138548806,7mer
232,3.89,0.241227493,7mer
233,3.91,0.338091135,7mer
234,3.92,0.382848531,7mer
235,3.94,0.359944999,7mer
236,3.96,0.305793256,7mer
237,3.97,0.280565977,7mer
238,3.99,0.316720188,7mer
239,4.01,0.391817719,7mer
240,4.02,0.452122927,7mer
241,4.04,0.458704889,7mer
242,4.06,0.409452736,7mer
243,4.07,0.326504737,7mer
244,4.09,0.231970713,7mer
245,4.11,0.145748869,7mer
246,4.12,0.083968133,7mer
247,4.14,0.060476199,7mer
248,4.16,0.087239943,7mer
249,4.17,0.17388989,7mer
250,4.19,0.311322212,7mer
251,4.21,0.47265026,7mer
252,4.22,0.610035777,7mer
253,4.24,0.748424411,7mer
254,4.26,1.01932323,7mer
255,4.27,1.590591788,7mer
256,4.29,2.468301058,7mer
257,4.3,3.35279417,7mer
258,4.32,3.779734373,7mer
259,4.34,3.490227938,7mer
260,4.35,2.650303364,7mer
261,4.37,1.679331541,7mer
262,4.39,0.917915285,7mer
263,4.4,0.476831257,7mer
264,4.42,0.305594623,7mer
265,4.44,0.300433457,7mer
266,4.45,0.351666123,7mer
267,4.47,0.380200505,7mer
268,4.49,0.337270826,7mer
